Row,Set_1,Set_2,Set_3,Set_4
1,-3.652567158,-3.385396933,-2.765723647,-3.952070527
2,-2.630719045,-2.639148607,-2.762303846,-2.588706694
3,-1.742374354,-3.318998386,-3.433953688,-2.940737469
4,-3.714088233,-2.3386857,-3.503393736,-2.249661602
5,-1.867877271,-3.399352379,-3.282436126,-3.495307918
6,-2.230263419,-2.638451182,-3.3134122,-2.125467954
7,-4.205785737,-3.033895941,-3.905935619,-4.076025598
8,-4.480215573,-3.691621299,-3.375342517,-2.722614005
9,-3.157653826,-2.862361146,-2.580972797,-3.670840088
10,-3.230692903,-4.122926019,-2.885419143,-4.276083574
11,-2.066687686,-2.775785045,-3.238533098,-2.415892745
12,-2.742249359,-2.717825355,-3.044854373,-3.410025837
13,-1.6280313,-0.715537913,-3.495760459,-1.238966887
14,-3.223549214,-3.997533096,-2.799156451,-3.640685453
15,-2.366225606,-4.178103346,-1.935722226,-2.506164712
16,-1.707543117,-3.046628641,-1.692569836,-2.074703259
17,-3.602849974,-3.569031682,-2.471099983,-3.985948296
18,-3.912877039,-4.05997213,-2.40115186,-4.775059131
19,-2.325942012,-1.454650297,-3.413471593,-2.755416313
20,-3.027386909,-3.320877387,-3.289882009,-3.289749174
21,-3.444549213,-2.679989949,-2.377429411,-3.621310405
22,-1.874307104,-2.216483075,-1.451230096,-2.347532928
23,-3.228506444,-2.22572084,-2.701084608,-3.260835752
24,-4.598442262,-3.434913689,-3.814707395,-2.167407351
25,-0.573114203,-1.500889769,-0.659508562,-0.837357273
26,-1.934682721,-1.050565492,-2.074472464,-0.790162884
27,-1.68979686,-3.963929475,-2.083248182,-3.025723629
28,-3.71231589,-3.333114596,-3.126115512,-3.963107244
29,-2.236036225,-2.470958887,-2.990750295,-1.948656316
30,-3.05445869,-4.203479563,-3.980340046,-3.876046755
31,-2.566519008,-0.418705692,-1.458327148,-0.740741449
32,-4.714548764,-2.854663399,-4.527681381,-5.010981495
33,-2.109661587,-2.679745332,-2.365342181,-0.929767481
34,-1.310327778,-0.212014446,-1.789372711,-2.644940102
35,-1.944840775,-1.771713669,-3.27027594,-3.330743671
36,-3.497342307,-3.488435275,-4.889172894,-2.530408059
37,-1.975702086,-3.030905051,-1.719923535,-1.959194615
38,-3.450795955,-4.316838801,-4.682348583,-4.107035577
39,-2.701849519,-3.340560579,-1.198567501,-3.164495947
40,-3.53014536,-4.245054265,-3.44969579,-4.789359876
41,-3.092265383,-3.325289141,-3.192304701,-1.960083682
